EndDate,Date,White,Black,Result,WhiteElo,BlackElo,TimeControl,game_pgn,Opening,isWhite,isBlack,UserColor,RelativeResult,RelativeEloDiff,Opponent,Opening_Group
2025-03-13,2025.03.13,Benot1615,rajakel,1-0,214,100,60,1. e4 {[%clk 0:00:59.8]} 1... e5 {[%clk 0:00:58.4]} 2. Nc3 {[%clk 0:00:57.4]} 2... Nf6 {[%clk 0:00:58.3]} 3. f3 {[%clk 0:00:55]} 3... Nc6 {[%clk 0:00:58.2]} 4. Nh3 {[%clk 0:00:53.1]} 4... Bc5 {[%clk 0:00:57.4]} 5. g3 {[%clk 0:00:52.2]} 5... g6 {[%clk 0:00:55.6]} 6. d3 {[%clk 0:00:51.6]} 6... O-O {[%clk 0:00:54.8]} 7. Be3 {[%clk 0:00:50.8]} 7... Qe7 {[%clk 0:00:53.3]} 8. Bxc5 {[%clk 0:00:49.7]} 8... Qxc5 {[%clk 0:00:50.9]} 9. d4 {[%clk 0:00:48.7]} 9... Qc4 {[%clk 0:00:47]} 10. b3 {[%clk 0:00:46.5]} 10... Qe6 {[%clk 0:00:44.5]} 11. Bc4 {[%clk 0:00:45.2]} 11... Qxh3 {[%clk 0:00:43.2]} 12. Kf2 {[%clk 0:00:42.9]} 12... d6 {[%clk 0:00:40]} 13. Qg1 {[%clk 0:00:41.8]} 13... Ng4+ {[%clk 0:00:33.5]} 14. Ke1 {[%clk 0:00:39.3]} 14... exd4 {[%clk 0:00:27.9]} 15. fxg4 {[%clk 0:00:37.4]} 15... Ne5 {[%clk 0:00:24]} 16. Ne2 {[%clk 0:00:36.8]} 16... Nf3+ {[%clk 0:00:22.4]} 17. Kf2 {[%clk 0:00:33.1]} 17... Nxg1 {[%clk 0:00:22.3]} 18. Kxg1 {[%clk 0:00:31.4]} 18... Qxg4 {[%clk 0:00:18.5]} 19. Kf1 {[%clk 0:00:30.3]} 19... Qxe4 {[%clk 0:00:15.6]} 20. Kf2 {[%clk 0:00:29]} 20... Qxh1 {[%clk 0:00:13.8]} 21. Rxh1 {[%clk 0:00:27.5]} 21... Re8 {[%clk 0:00:09.8]} 22. Nxd4 {[%clk 0:00:27]} 22... Bh3 {[%clk 0:00:08.8]} 23. Bxf7+ {[%clk 0:00:22.2]} 23... Kxf7 {[%clk 0:00:07.3]} 24. Rg1 {[%clk 0:00:19.8]} 24... Re4 {[%clk 0:00:07.2]} 25. Kf3 {[%clk 0:00:18.8]} 25... Rae8 {[%clk 0:00:07.1]} 26. Kf2 {[%clk 0:00:17.7]} 26... Rxd4 {[%clk 0:00:04.1]} 27. Rd1 {[%clk 0:00:16.6]} 27... Rxd1 {[%clk 0:00:02.3]} 28. Kf3 {[%clk 0:00:14.4]} 28... Rde1 {[%clk 0:00:02.2]} 29. Kf4 {[%clk 0:00:13.3]} 29... Bg4 {[%clk 0:00:02.1]} 30. Kxg4 {[%clk 0:00:12.2]} 30... g5 {[%clk 0:00:01.9]} 31. Kh5 {[%clk 0:00:11.5]} 31... R1e5 {[%clk 0:00:01.1]} 32. Kg4 {[%clk 0:00:10]} 1-0,Vienna Game Falkbeer Variation,False,True,isBlack,Loss,114,Benot1615,Vienna Game
2025-03-13,2025.03.13,XBXAAA,rajakel,1-0,255,115,60,1. e4 {[%clk 0:00:56.1]} 1... e5 {[%clk 0:00:59.9]} 2. d3 {[%clk 0:00:55]} 2... Nf6 {[%clk 0:00:59.7]} 3. Be2 {[%clk 0:00:54.4]} 3... Nc6 {[%clk 0:00:59.1]} 4. Qd2 {[%clk 0:00:53.9]} 4... Bc5 {[%clk 0:00:56.6]} 5. Nf3 {[%clk 0:00:51.6]} 5... d6 {[%clk 0:00:55.9]} 6. a3 {[%clk 0:00:50.1]} 6... b6 {[%clk 0:00:53.1]} 7. b4 {[%clk 0:00:48.9]} 7... O-O {[%clk 0:00:52.9]} 8. bxc5 {[%clk 0:00:45.6]} 8... bxc5 {[%clk 0:00:51.5]} 9. Nc3 {[%clk 0:00:44.4]} 9... Ba6 {[%clk 0:00:48.9]} 10. Bb2 {[%clk 0:00:42.1]} 10... Na5 {[%clk 0:00:48]} 11. Nd5 {[%clk 0:00:37.9]} 11... Nxd5 {[%clk 0:00:45.4]} 12. exd5 {[%clk 0:00:36.4]} 12... h6 {[%clk 0:00:43.7]} 13. c4 {[%clk 0:00:35.1]} 13... Qg5 {[%clk 0:00:42.6]} 14. Nxg5 {[%clk 0:00:33.5]} 14... hxg5 {[%clk 0:00:41.1]} 15. Qxg5 {[%clk 0:00:31.7]} 15... Rab8 {[%clk 0:00:36.7]} 16. h4 {[%clk 0:00:26]} 16... Rxb2 {[%clk 0:00:35.8]} 17. O-O {[%clk 0:00:23.6]} 17... Nb3 {[%clk 0:00:29.5]} 18. Bf3 {[%clk 0:00:21.9]} 18... Nd4 {[%clk 0:00:26.6]} 19. h5 {[%clk 0:00:19.1]} 19... Nxf3+ {[%clk 0:00:20.4]} 20. gxf3 {[%clk 0:00:12.2]} 20... Re8 {[%clk 0:00:17]} 21. h6 {[%clk 0:00:10]} 21... f6 {[%clk 0:00:14.8]} 22. Qxg7# {[%clk 0:00:08.6]} 1-0,Kings Pawn Opening Leonardis Variation,False,True,isBlack,Loss,140,XBXAAA,King's Pawn Opening
2025-03-13,2025.03.13,artemix569,rajakel,0-1,130,270,60,1. e4 {[%clk 0:00:59.1]} 1... e5 {[%clk 0:00:59.2]} 2. d3 {[%clk 0:00:58.3]} 2... Nf6 {[%clk 0:00:59.1]} 3. f3 {[%clk 0:00:57.6]} 3... Nc6 {[%clk 0:00:59]} 4. Nh3 {[%clk 0:00:56.2]} 4... Bc5 {[%clk 0:00:58]} 5. g4 {[%clk 0:00:55.9]} 5... Bd4 {[%clk 0:00:56.3]} 6. Be3 {[%clk 0:00:54.9]} 6... g6 {[%clk 0:00:55.4]} 7. Qe2 {[%clk 0:00:54.4]} 7... Bxe3 {[%clk 0:00:54.5]} 8. Qxe3 {[%clk 0:00:53.9]} 8... O-O {[%clk 0:00:50.5]} 9. Be2 {[%clk 0:00:53.5]} 9... Qe8 {[%clk 0:00:49.9]} 10. O-O {[%clk 0:00:53.1]} 10... Nb4 {[%clk 0:00:48.6]} 11. Qd2 {[%clk 0:00:50.7]} 11... d6 {[%clk 0:00:48.5]} 12. c3 {[%clk 0:00:49.4]} 12... Nc6 {[%clk 0:00:44.5]} 13. b4 {[%clk 0:00:48.2]} 13... Bxg4 {[%clk 0:00:42]} 14. a4 {[%clk 0:00:47.4]} 14... Bxh3 {[%clk 0:00:40.4]} 15. Rf2 {[%clk 0:00:45.7]} 15... Qe6 {[%clk 0:00:35.5]} 16. b5 {[%clk 0:00:45.1]} 16... Na5 {[%clk 0:00:34.2]} 17. c4 {[%clk 0:00:43]} 17... Nb3 {[%clk 0:00:32.2]} 18. Qb4 {[%clk 0:00:38.4]} 18... Nxa1 {[%clk 0:00:31.3]} 19. Nc3 {[%clk 0:00:36.4]} 19... g5 {[%clk 0:00:25.5]} 20. Nd5 {[%clk 0:00:35.5]} 20... Nxd5 {[%clk 0:00:24.7]} 21. cxd5 {[%clk 0:00:35]} 21... Qd7 {[%clk 0:00:21.8]} 22. a5 {[%clk 0:00:33.9]} 22... c6 {[%clk 0:00:19.4]} 23. b6 {[%clk 0:00:32.5]} 23... axb6 {[%clk 0:00:18.4]} 24. axb6 {[%clk 0:00:31.6]} 24... c5 {[%clk 0:00:16.2]} 25. Qd2 {[%clk 0:00:26.8]} 25... Qa4 {[%clk 0:00:12.8]} 26. Qxg5+ {[%clk 0:00:24.6]} 26... Kh8 {[%clk 0:00:10.5]} 27. Qf6+ {[%clk 0:00:22.6]} 27... Kg8 {[%clk 0:00:07.5]} 28. f4 {[%clk 0:00:21.6]} 28... h6 {[%clk 0:00:05]} 29. Bg4 {[%clk 0:00:19.5]} 29... Qd1+ {[%clk 0:00:04.4]} 30. Rf1 {[%clk 0:00:16.9]} 30... Qxf1# {[%clk 0:00:03.2]} 0-1,Kings Pawn Opening Leonardis Variation,False,True,isBlack,Win,-140,artemix569,King's Pawn Opening
2025-03-13,2025.03.13,rajakel,kerem7806,1-0,165,100,60,1. d4 {[%clk 0:00:58.2]} 1... e6 {[%clk 0:00:58.8]} 2. Nf3 {[%clk 0:00:56.9]} 2... d5 {[%clk 0:00:57.8]} 3. Nc3 {[%clk 0:00:56.8]} 3... Bd7 {[%clk 0:00:56.3]} 4. e3 {[%clk 0:00:56.7]} 4... Nc6 {[%clk 0:00:55.3]} 5. Ne5 {[%clk 0:00:52.2]} 1-0,Queens Pawn Opening Zukertort Variation 2...e6 3.Bf4 c5 4.e3,True,False,isWhite,Win,-65,kerem7806,Queen's Pawn Opening
2025-03-13,2025.03.13,Loftzy,rajakel,0-1,100,220,60,1. e4 {[%clk 0:00:58.6]} 1... e5 {[%clk 0:00:59.9]} 2. Bc4 {[%clk 0:00:56]} 2... Nc6 {[%clk 0:00:59.8]} 3. Nc3 {[%clk 0:00:53.7]} 3... Nf6 {[%clk 0:00:59.1]} 4. Nf3 {[%clk 0:00:50.2]} 4... a6 {[%clk 0:00:57.9]} 5. g3 {[%clk 0:00:49.3]} 5... b5 {[%clk 0:00:57]} 6. Qe2 {[%clk 0:00:48.1]} 6... bxc4 {[%clk 0:00:55.8]} 7. Qxc4 {[%clk 0:00:47]} 7... Nd4 {[%clk 0:00:51.7]} 8. d3 {[%clk 0:00:43.3]} 8... Nxc2+ {[%clk 0:00:49.5]} 9. Kd2 {[%clk 0:00:40]} 9... Nxa1 {[%clk 0:00:49.4]} 10. Na4 {[%clk 0:00:37.1]} 10... c6 {[%clk 0:00:43.6]} 11. Nc5 {[%clk 0:00:36.3]} 11... d6 {[%clk 0:00:42.2]} 12. Nxa6 {[%clk 0:00:30]} 12... d5 {[%clk 0:00:40.5]} 13. Qxc6+ {[%clk 0:00:25.3]} 13... Qd7 {[%clk 0:00:38.6]} 14. Qxa8 {[%clk 0:00:23.4]} 14... Qa7 {[%clk 0:00:36.7]} 15. Qxa7 {[%clk 0:00:21.2]} 15... Bb4+ {[%clk 0:00:34.4]} 16. Ke3 {[%clk 0:00:14.6]} 16... O-O {[%clk 0:00:33.7]} 17. Qb7 {[%clk 0:00:08.8]} 17... Bxb7 {[%clk 0:00:32.5]} 18. Nc7 {[%clk 0:00:07.2]} 18... Ba6 {[%clk 0:00:32.4]} 19. Ng5 {[%clk 0:00:04.2]} 19... Ne8 {[%clk 0:00:32.3]} 20. exd5 {[%clk 0:00:00.6]} 20... Nxc7 {[%clk 0:00:31.6]} 0-1,Four Knights Game,False,True,isBlack,Win,-120,Loftzy,Four Knights Game
2025-03-13,2025.03.13,farukhshehzad584,rajakel,1-0,407,224,60,1. Nf3 {[%clk 0:00:59.8]} 1... e5 {[%clk 0:00:59]} 2. Nc3 {[%clk 0:00:59.3]} 2... Nc6 {[%clk 0:00:56.7]} 3. d3 {[%clk 0:00:58.8]} 3... Nf6 {[%clk 0:00:56]} 4. e3 {[%clk 0:00:58.2]} 4... Bc5 {[%clk 0:00:53.6]} 5. Be2 {[%clk 0:00:57.6]} 5... d6 {[%clk 0:00:52.1]} 6. Bd2 {[%clk 0:00:57.1]} 6... Bg4 {[%clk 0:00:50.7]} 7. Rg1 {[%clk 0:00:56.5]} 7... Bxf3 {[%clk 0:00:49.3]} 8. gxf3 {[%clk 0:00:55.6]} 8... Nh5 {[%clk 0:00:46.9]} 9. Rb1 {[%clk 0:00:55]} 9... f6 {[%clk 0:00:45]} 10. a3 {[%clk 0:00:53.8]} 10... O-O {[%clk 0:00:43.4]} 11. Nd5 {[%clk 0:00:51.5]} 11... Qd7 {[%clk 0:00:43.3]} 12. Nxf6+ {[%clk 0:00:49.4]} 12... Rxf6 {[%clk 0:00:41.8]} 13. Rf1 {[%clk 0:00:48.2]} 13... Qh3 {[%clk 0:00:39.3]} 14. c3 {[%clk 0:00:46.3]} 14... Rg6 {[%clk 0:00:34.3]} 15. Qc1 {[%clk 0:00:45.2]} 15... Qg2 {[%clk 0:00:31]} 16. Kd1 {[%clk 0:00:43.9]} 16... Qxf1+ {[%clk 0:00:29.4]} 17. Kc2 {[%clk 0:00:41.9]} 17... Qxe2 {[%clk 0:00:27.1]} 18. Qe1 {[%clk 0:00:39.8]} 18... Qxf3 {[%clk 0:00:22.5]} 19. Qd1 {[%clk 0:00:37]} 19... Qxf2 {[%clk 0:00:12.6]} 20. Qf1 {[%clk 0:00:33.5]} 20... Rg2 {[%clk 0:00:10.2]} 21. Qxf2 {[%clk 0:00:32]} 21... Rxf2 {[%clk 0:00:09.5]} 22. Re1 {[%clk 0:00:30.5]} 22... Nb4+ {[%clk 0:00:01.1]} 23. axb4 {[%clk 0:00:29.5]} 1-0,Polish Opening 1...e5,False,True,isBlack,Loss,183,farukhshehzad584,Polish Opening
2025-03-14,2025.03.14,rajakel,Franes400,1-0,321,251,60,1. d3 {[%clk 0:00:58.9]} 1... e5 {[%clk 0:00:58.9]} 2. Bf4 {[%clk 0:00:57.8]} 2... Bc5 {[%clk 0:00:57.2]} 3. Bg3 {[%clk 0:00:56.8]} 3... Qf6 {[%clk 0:00:56.4]} 4. Nf3 {[%clk 0:00:54.7]} 4... Qg5 {[%clk 0:00:53.9]} 5. Nxg5 {[%clk 0:00:53.2]} 1-0,Polish Opening 1...e5,True,False,isWhite,Win,-70,Franes400,Polish Opening
2025-03-14,2025.03.14,rajakel,tano4702,0-1,284,396,60,1. d4 {[%clk 0:00:57.5]} 1... d6 {[%clk 0:00:59.7]} 2. Bf4 {[%clk 0:00:57]} 2... e6 {[%clk 0:00:59.3]} 3. Nf3 {[%clk 0:00:54.7]} 3... Be7 {[%clk 0:00:58.9]} 4. e3 {[%clk 0:00:53.9]} 4... Nf6 {[%clk 0:00:58.8]} 5. Nc3 {[%clk 0:00:52.7]} 5... O-O {[%clk 0:00:58.5]} 6. g3 {[%clk 0:00:50.4]} 6... Ne8 {[%clk 0:00:58.3]} 7. h4 {[%clk 0:00:48.8]} 7... c6 {[%clk 0:00:57.9]} 8. Bc4 {[%clk 0:00:47.6]} 8... f6 {[%clk 0:00:57.4]} 9. Bb3 {[%clk 0:00:46.4]} 9... d5 {[%clk 0:00:55.8]} 10. Na4 {[%clk 0:00:43.1]} 10... Nd7 {[%clk 0:00:55]} 11. c3 {[%clk 0:00:42]} 11... b5 {[%clk 0:00:53.3]} 12. Nc5 {[%clk 0:00:37.5]} 12... Bxc5 {[%clk 0:00:51.6]} 13. dxc5 {[%clk 0:00:37.4]} 13... Nc7 {[%clk 0:00:50.4]} 14. Qd3 {[%clk 0:00:36.5]} 14... Na6 {[%clk 0:00:45.8]} 15. O-O-O {[%clk 0:00:36.4]} 15... Naxc5 {[%clk 0:00:42.4]} 16. e4 {[%clk 0:00:29.9]} 16... Nxd3+ {[%clk 0:00:40.7]} 17. Rxd3 {[%clk 0:00:28.5]} 17... Nb6 {[%clk 0:00:40]} 0-1,Queens Pawn Opening 1...d6 2.Bf4,True,False,isWhite,Loss,112,tano4702,Queen's Pawn Opening
2025-03-14,2025.03.14,rajakel,mimisu2000,0-1,249,337,60,1. d4 {[%clk 0:00:57.1]} 1... d6 {[%clk 0:00:58.5]} 2. Bf4 {[%clk 0:00:55.9]} 2... e5 {[%clk 0:00:56.3]} 3. Bg3 {[%clk 0:00:54.6]} 3... exd4 {[%clk 0:00:55.1]} 4. e3 {[%clk 0:00:53]} 4... dxe3 {[%clk 0:00:53.6]} 5. Nf3 {[%clk 0:00:52.8]} 5... exf2+ {[%clk 0:00:52.5]} 6. Kxf2 {[%clk 0:00:50.8]} 6... d5 {[%clk 0:00:47.1]} 7. Bb5+ {[%clk 0:00:49.2]} 7... c6 {[%clk 0:00:45.2]} 8. Ba4 {[%clk 0:00:48]} 8... d4 {[%clk 0:00:44]} 9. Qxd4 {[%clk 0:00:45.8]} 9... Na6 {[%clk 0:00:39.9]} 10. Nc3 {[%clk 0:00:43.1]} 10... Bd7 {[%clk 0:00:37.3]} 11. Qe4+ {[%clk 0:00:40.5]} 11... Qe7 {[%clk 0:00:34.4]} 12. Rhe1 {[%clk 0:00:40.3]} 12... f5 {[%clk 0:00:31.9]} 13. Re2 {[%clk 0:00:37.4]} 13... fxe4 {[%clk 0:00:30.8]} 14. Ng5 {[%clk 0:00:35.5]} 14... Qxg5 {[%clk 0:00:25.1]} 15. Rxe4+ {[%clk 0:00:31.3]} 15... Be6 {[%clk 0:00:22.3]} 16. Rae1 {[%clk 0:00:31.2]} 16... Be7 {[%clk 0:00:19.3]} 17. Bf4 {[%clk 0:00:30.2]} 17... O-O-O {[%clk 0:00:18.1]} 18. Bxg5 {[%clk 0:00:29.3]} 18... Bf5 {[%clk 0:00:15.9]} 19. Rxe7 {[%clk 0:00:27.6]} 19... Nxe7 {[%clk 0:00:13.8]} 20. Rxe7 {[%clk 0:00:26.1]} 20... Rde8 {[%clk 0:00:12.1]} 21. Re5 {[%clk 0:00:22.1]} 21... Rxe5 {[%clk 0:00:10.9]} 22. Bb3 {[%clk 0:00:15.3]} 22... Rf8 {[%clk 0:00:09.9]} 23. Ne2 {[%clk 0:00:11.8]} 23... Bxc2+ {[%clk 0:00:09.2]} 24. Ke1 {[%clk 0:00:07.5]} 24... Bd3 {[%clk 0:00:06.4]} 25. Kd2 {[%clk 0:00:03.9]} 25... Bxe2 {[%clk 0:00:05.7]} 26. Bc4 {[%clk 0:00:01.2]} 26... Rd8+ {[%clk 0:00:04.6]} 0-1,Queens Pawn Opening 1...d6 2.Bf4,True,False,isWhite,Loss,88,mimisu2000,Queen's Pawn Opening
2025-03-14,2025.03.14,valli998,rajakel,0-1,275,289,60,1. e4 {[%clk 0:00:59.8]} 1... e5 {[%clk 0:00:58.9]} 2. Nf3 {[%clk 0:00:59.1]} 2... Nc6 {[%clk 0:00:57.6]} 3. Nc3 {[%clk 0:00:58.3]} 3... Nf6 {[%clk 0:00:57.4]} 4. d3 {[%clk 0:00:57.4]} 4... d6 {[%clk 0:00:56.7]} 5. Be3 {[%clk 0:00:56.8]} 5... Bg4 {[%clk 0:00:55.7]} 6. Be2 {[%clk 0:00:55.5]} 6... Bh5 {[%clk 0:00:54.5]} 7. Qd2 {[%clk 0:00:54.5]} 7... Be7 {[%clk 0:00:52.4]} 8. O-O-O {[%clk 0:00:53.9]} 8... O-O {[%clk 0:00:52.2]} 9. Ng5 {[%clk 0:00:50.6]} 9... h6 {[%clk 0:00:48.9]} 10. Nf3 {[%clk 0:00:49.3]} 10... Bxf3 {[%clk 0:00:47.1]} 11. Bxf3 {[%clk 0:00:48]} 11... b6 {[%clk 0:00:46.8]} 12. Nd5 {[%clk 0:00:43.7]} 12... Nxd5 {[%clk 0:00:43.9]} 13. exd5 {[%clk 0:00:42.7]} 13... Nb4 {[%clk 0:00:41.1]} 14. Qxb4 {[%clk 0:00:39.4]} 14... Bg5 {[%clk 0:00:34.1]} 15. Bxg5 {[%clk 0:00:36.6]} 15... hxg5 {[%clk 0:00:33.1]} 16. Rhe1 {[%clk 0:00:30.7]} 16... a5 {[%clk 0:00:32.4]} 17. Qe4 {[%clk 0:00:27.4]} 17... Qf6 {[%clk 0:00:29]} 18. a3 {[%clk 0:00:22.1]} 18... Rfe8 {[%clk 0:00:26.8]} 19. h3 {[%clk 0:00:15.7]} 19... g6 {[%clk 0:00:25.6]} 20. Re3 {[%clk 0:00:09.3]} 20... Re7 {[%clk 0:00:24.7]} 21. Bg4 {[%clk 0:00:07.1]} 21... Rae8 {[%clk 0:00:24.6]} 22. Rf3 {[%clk 0:00:05.2]} 22... Qg7 {[%clk 0:00:22.3]} 23. Be6 {[%clk 0:00:00.6]} 23... Rxe6 {[%clk 0:00:20.7]} 0-1,Four Knights Game,False,True,isBlack,Win,-14,valli998,Four Knights Game
